Palabra,Conteo
de,8974
la,6103
y,4659
en,3985
el,3607
los,2579
que,2382
a,2375
se,1697
del,1690
las,1688
para,1481
con,1455
por,1118
un,1001
más,967
una,779
al,742
su,723
es,698
no,573
ha,567
méxico,508
lo,474
han,408
país,394
sus,390
nuestra,361
como,341
este,336
mil,327
mexicanos,287
social,269
nacional,268
hemos,267
entre,260
nuestro,247
millones,246
estado,243
año,237
sin,231
años,231
nación,230
gobierno,228
ciento,213
pero,208
política,202
mayor,202
nos,198
también,197
todos,195
hoy,189
esta,188
recursos,187
así,181
justicia,181
mundo,171
sociedad,167
cambio,166
desarrollo,163
ya,160
todo,156
ello,156
eso,149
reforma,147
nueva,147
casi,147
participación,146
nuevas,146
solidaridad,146
programa,146
durante,144
nuestros,140
sobre,140
crecimiento,139
soberanía,138
mejor,138
estos,136
son,135
o,133
nuevo,132
estados,131
nuestras,131
vida,130
económica,130
nuevos,129
sólo,126
está,126
sido,125
población,124
inversión,124
mi,123
respeto,122
educación,118
república,115
esfuerzo,115
ley,114
pueblo,112
cada,111
países,109
fue,108
sistema,107
federal,106
hay,104
tiene,104
ahora,104
e,104
ser,103
empresas,103
modernización,101
economía,101
relaciones,100
comercio,100
gran,99
derechos,97
trabajo,95
instituciones,95
bienestar,94
capacidad,93
seguridad,91
medio,91
tenemos,91
historia,90
mexicano,90
marco,89
acciones,89
libertad,88
compromiso,88
democracia,88
exterior,88
diálogo,87
cambios,87
dos,87
naciones,86
servicios,85
hacia,85
1988,85
1993,85
ni,84
1992,84
parte,84
presidente,83
salud,83
pasado,83
estabilidad,83
sector,83
deuda,83
tres,81
manera,81
campesinos,81
desde,81
condiciones,80
acuerdo,80
libre,80
internacional,79
producción,79
grandes,79
políticas,79
1994,79
vez,78
pública,78
sociales,78
trabajadores,77
sino,76
administración,75
congreso,74
porque,74
hacer,74
público,74
económico,73
menos,72
tienen,72
campo,72
tiempo,72
gasto,72
ante,71
respuesta,71
precios,71
nivel,71
materia,71
unidos,70
siempre,70
mediante,70
general,70
cooperación,70
proceso,70
futuro,69
atención,69
primer,68
hechos,68
cinco,68
hace,67
interés,67
acuerdos,67
comunidades,67
inflación,67
reales,67
comunidad,66
programas,66
grupos,66
apoyo,65
últimos,64
político,64
servicio,64
mundial,63
proyectos,63
protección,63
periodo,62
revolución,62
públicas,62
términos,62
largo,61
mismo,61
cultura,61
promover,61
si,61
poder,61
superior,61
relación,60
debemos,60
contra,60
pesos,60
voluntad,59
además,59
importante,58
oportunidades,58
estas,58
ellos,58
unión,57
calidad,57
reformas,57
frente,57
cuando,57
estamos,57
responsabilidad,57
fuerzas,57
partidos,57
demanda,56
mexicana,56
libertades,56
productividad,56
infraestructura,56
informe,55
dar,55
todas,55
derecho,55
problemas,54
quienes,54
américa,54
10,54
1989,53
organización,53
propósito,53
acción,53
compatriotas,53
constitución,52
otras,52
principios,52
intereses,52
mercado,52
comisión,52
políticos,52
tratado,52
pobreza,52
nacionales,51
forma,51
permanente,51
resultados,51
populares,51
